Lele,1.2,0.4,10000
Mas,1.5,0.3,15000
Nila,1.8,0.2,12000
Gurami,2.0,0.2,20000
Bandeng,2.5,0.1,25000
Patin,1.6,0.3,18000
Kakap,2.2,0.2,22000
Bawal,2.8,0.1,28000
Tongkol,1.4,0.4,13000
Teri,0.2,0.8,5000
Tuna,2.3,0.2,23000
Kerapu,3.0,0.1,30000
Belut,0.8,0.6,8000
Sarden,0.5,0.7,6000
Salmon,1.9,0.3,19000
Kembung,0.6,0.5,7000
Gabus,1.7,0.2,17000
Cakalang,1.5,0.3,15000
Selar,0.7,0.5,7500
Layang,0.9,0.4,9000
Kerapu Macan,3.5,0.1,35000
Buntal,0.3,0.6,3000
Tongkol Kuning,1.3,0.4,14000
Gurita,0.4,0.7,4000
Kerang,0.1,0.9,1000
Cupang,0.1,0.9,2000
Gurame,1.8,0.2,18000
Gabus Betina,1.6,0.2,16000
Mas Koki,0.5,0.5,5000
Lele Dumbo,1.0,0.4,9000
